Ticker,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MRVL,MU,NVDA,NXPI,ON,QCOM,TER,TSM,TXN,UMC
ADI,0.0004479725457038062,0.00045409427177264556,0.0004173823594248217,0.00039181042374578085,0.00035565390304624503,0.0003307673330768466,0.00043640808130768156,0.00046332805990169216,0.0004752275574764455,0.00043977275007594087,0.00041634064522324437,0.00043402726941402524,0.00044356749365591553,0.0005536162039444008,0.0003597684111598255,0.0004317494616229249,0.000302680961620078,0.0003447387381671884,0.0002592644790497158
AMAT,0.00045409427177264556,0.0007907077617893336,0.0005833562875430345,0.0005876038113339565,0.0004823229900914636,0.00044256140159628586,0.0006766377920808575,0.0007516674369167107,0.0005824268874226072,0.0005928298472905715,0.0006082353302184996,0.0006270954566135646,0.0005400036674180842,0.0006722578385314809,0.00048286213087850625,0.0006087251772372854,0.0004313967605524957,0.00041201004422500894,0.00036165087954107044
AMD,0.0004173823594248217,0.0005833562875430345,0.0011620172634775002,0.0005234806554665914,0.0004514143135622053,0.0003872730321640175,0.0005618336025555953,0.0006020456427928145,0.0005211889914284926,0.0006406156183263128,0.0005494145084932867,0.00077131682884957,0.0004808630555683545,0.0006277197346487484,0.0004701496425948007,0.0005385366552059261,0.00042852126991330656,0.0003836126451978182,0.000341591647024718
ASML,0.00039181042374578085,0.0005876038113339565,0.0005234806554665914,0.0006561870381836991,0.00042649167742698525,0.0003699537156054514,0.0005600372835216061,0.000602390719575344,0.0004945035302363687,0.0005294439025751878,0.0004952685137311419,0.000572706683651151,0.00047828518870903343,0.0005893070996266949,0.00041956753010447874,0.000517472372868005,0.0003964918695657004,0.00034574439016792834,0.00035131860150149454
AVGO,0.00035565390304624503,0.0004823229900914636,0.0004514143135622053,0.00042649167742698525,0.0006160475457231109,0.00033047406592916456,0.0004552216138914841,0.0004932902211054093,0.0004349615257908386,0.0005153937894010108,0.00045968470842039816,0.0005081274316098569,0.0004294202968714895,0.0005264207944339153,0.00039403942922861847,0.00044228693141236413,0.0003479114055312607,0.0003135616006791135,0.0002722105604598712
INTC,0.0003307673330768466,0.00044256140159628586,0.0003872730321640175,0.0003699537156054514,0.00033047406592916456,0.0006623246858015672,0.00041651844278017564,0.0004408893264264641,0.00043224463616378726,0.00041641936151267967,0.0004293705046057639,0.0004143161520117535,0.00036859562873938634,0.00045740580768902783,0.0003498497514115121,0.0003981175255502362,0.0002730645720526499,0.0003136952362596713,0.0002479733847315476
KLAC,0.00043640808130768156,0.0006766377920808575,0.0005618336025555953,0.0005600372835216061,0.0004552216138914841,0.00041651844278017564,0.0007375473663064513,0.0007008124158343662,0.0005527147038994334,0.00056820133945529,0.0005591062657236353,0.0006040518868726215,0.0005087675647548058,0.0006264280741142151,0.00045752605934765617,0.0005824701346899306,0.00040812293625048525,0.00039683672807979656,0.00036051222539869575
LRCX,0.00046332805990169216,0.0007516674369167107,0.0006020456427928145,0.000602390719575344,0.0004932902211054093,0.0004408893264264641,0.0007008124158343662,0.0008452779467569102,0.0005920668148382926,0.0006059035087121247,0.0006433133178857581,0.000633885470945886,0.0005547133165355206,0.0006932141736357076,0.00048540328853562744,0.0006341324107073477,0.00044532616604780356,0.0004173132336479117,0.00037744079937252086
MCHP,0.0004752275574764455,0.0005824268874226072,0.0005211889914284926,0.0004945035302363687,0.0004349615257908386,0.00043224463616378726,0.0005527147038994334,0.0005920668148382926,0.0006998377711538335,0.0005521951884731612,0.0005372857721952608,0.000539048342787836,0.0005560973240135838,0.0007074713191125003,0.00043694669389736845,0.0005427143756493286,0.0003833966582547981,0.00042174238642135934,0.00034788381926692216
MRVL,0.00043977275007594087,0.0005928298472905715,0.0006406156183263128,0.0005294439025751878,0.0005153937894010108,0.00041641936151267967,0.00056820133945529,0.0006059035087121247,0.0005521951884731612,0.0009722573094340673,0.0005648945270313946,0.0006853940006688011,0.0005360592300356953,0.0006641116225494367,0.0004927471379277525,0.000576515449389062,0.00042380985467723316,0.000396572534722764,0.0003851785177436727
MU,0.00041634064522324437,0.0006082353302184996,0.0005494145084932867,0.0004952685137311419,0.00045968470842039816,0.0004293705046057639,0.0005591062657236353,0.0006433133178857581,0.0005372857721952608,0.0005648945270313946,0.000880570698567479,0.0005958070919598185,0.0004968285892363589,0.0006336727054796437,0.00044467873571801955,0.0005369105925139402,0.00039647320074019297,0.00037803343848787324,0.00034105853924373743
NVDA,0.00043402726941402524,0.0006270954566135646,0.00077131682884957,0.000572706683651151,0.0005081274316098569,0.0004143161520117535,0.0006040518868726215,0.000633885470945886,0.000539048342787836,0.0006853940006688011,0.0005958070919598185,0.0010518433006009582,0.0005068245104798556,0.0006376992752697686,0.0004995583308919685,0.0005658892893026419,0.00046934573735556287,0.00039756976870101605,0.00037736095756965717
NXPI,0.00044356749365591553,0.0005400036674180842,0.0004808630555683545,0.00047828518870903343,0.0004294202968714895,0.00036859562873938634,0.0005087675647548058,0.0005547133165355206,0.0005560973240135838,0.0005360592300356953,0.0004968285892363589,0.0005068245104798556,0.0006983795553541786,0.0007058947805124039,0.00042839526189913924,0.0005184017401098167,0.0003615483367149097,0.00038411525269839496,0.00033356040445426625
ON,0.0005536162039444008,0.0006722578385314809,0.0006277197346487484,0.0005893070996266949,0.0005264207944339153,0.00045740580768902783,0.0006264280741142151,0.0006932141736357076,0.0007074713191125003,0.0006641116225494367,0.0006336727054796437,0.0006376992752697686,0.0007058947805124039,0.0011157245975992856,0.00051117927465456,0.0006456461088987429,0.0004430933468251635,0.00045814887882448337,0.00041280624307795207
QCOM,0.0003597684111598255,0.00048286213087850625,0.0004701496425948007,0.00041956753010447874,0.00039403942922861847,0.0003498497514115121,0.00045752605934765617,0.00048540328853562744,0.00043694669389736845,0.0004927471379277525,0.00044467873571801955,0.0004995583308919685,0.00042839526189913924,0.00051117927465456,0.0006232787450581407,0.0004452447082902905,0.0003392577443007313,0.0003223394241138123,0.0002951161744059075
TER,0.0004317494616229249,0.0006087251772372854,0.0005385366552059261,0.000517472372868005,0.00044228693141236413,0.0003981175255502362,0.0005824701346899306,0.0006341324107073477,0.0005427143756493286,0.000576515449389062,0.0005369105925139402,0.0005658892893026419,0.0005184017401098167,0.0006456461088987429,0.0004452447082902905,0.0007645159952206699,0.0003990115734407567,0.000382427935039323,0.0003557995585989184
TSM,0.000302680961620078,0.0004313967605524957,0.00042852126991330656,0.0003964918695657004,0.0003479114055312607,0.0002730645720526499,0.00040812293625048525,0.00044532616604780356,0.0003833966582547981,0.00042380985467723316,0.00039647320074019297,0.00046934573735556287,0.0003615483367149097,0.0004430933468251635,0.0003392577443007313,0.0003990115734407567,0.0004918956730001119,0.00027611026906266785,0.00032906687186154513
TXN,0.0003447387381671884,0.00041201004422500894,0.0003836126451978182,0.00034574439016792834,0.0003135616006791135,0.0003136952362596713,0.00039683672807979656,0.0004173132336479117,0.00042174238642135934,0.000396572534722764,0.00037803343848787324,0.00039756976870101605,0.00038411525269839496,0.00045814887882448337,0.0003223394241138123,0.000382427935039323,0.00027611026906266785,0.00037408680469981566,0.0002370936895857887
UMC,0.0002592644790497158,0.00036165087954107044,0.000341591647024718,0.00035131860150149454,0.0002722105604598712,0.0002479733847315476,0.00036051222539869575,0.00037744079937252086,0.00034788381926692216,0.0003851785177436727,0.00034105853924373743,0.00037736095756965717,0.00033356040445426625,0.00041280624307795207,0.0002951161744059075,0.0003557995585989184,0.00032906687186154513,0.0002370936895857887,0.0006452122517632651
