Ticker,expected_return
ADI,0.000561764807396572
AMAT,0.0006864664219356428
AMD,0.001370975406268401
ASML,0.0008155802502482797
AVGO,0.0013657296896227784
INTC,-0.00038959955922146283
KLAC,0.00108099288916348
LRCX,0.000820251467521079
MCHP,0.00019980760309124305
MRVL,0.0009446559103534486
MU,0.0003928151754122423
NVDA,0.0018921184335337615
NXPI,0.0003775785559102913
ON,0.0006071865923828852
QCOM,0.0005964702305006967
TER,0.0006202682043738039
TSM,0.0010034060127235675
TXN,0.0004373247407023115
UMC,0.0007615642076840185
