,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MRVL,MU,NVDA,NXPI,ON,QCOM,TER,TSM,TXN,UMC
ADI,0.0004935711768877605,0.0005190048124033842,0.00047218265989720467,0.0004413780157536672,0.0004012313011995191,0.00035193475486729246,0.0004890080799726205,0.0005288003945707406,0.0005280557391764252,0.0004856757944124133,0.0004873407606974744,0.0005135503596876228,0.0004922968555872041,0.0006195023445463079,0.00039936612152167164,0.00047897588823403567,0.0003414583292745692,0.00038680222231083305,0.0002838880328642488
AMAT,0.0005190048124033842,0.0008708421880270687,0.0006307097047537916,0.0006259513089203147,0.0005097618047007175,0.00048198373021939006,0.0007300734157287855,0.0008268281218589026,0.0006628579209789859,0.0006311896346805052,0.0006843597876608611,0.0006898321472312218,0.0006065833331532522,0.0007664512030315854,0.0005276975110178767,0.0006777998183447869,0.0004626517042731516,0.0004751156359994119,0.0003920086211671169
AMD,0.00047218265989720467,0.0006307097047537916,0.0012706493519475906,0.0005522003569056098,0.0004722808175927453,0.0004058761792399576,0.0005999884525000903,0.0006510466388372043,0.0005942688375519992,0.0006590991982899397,0.0006095112654943601,0.0008492789275315423,0.0005301461103035304,0.0007032410275999232,0.0005157119500380098,0.0005844359471007838,0.000449818561707122,0.00044009433170168297,0.00035521318619236367
ASML,0.0004413780157536672,0.0006259513089203147,0.0005522003569056098,0.0006759707418696769,0.0004452098718454291,0.0003908577896190571,0.0005798150186841419,0.0006434903214148907,0.0005516052891260544,0.0005548883926580077,0.0005421870017902608,0.0006221798525426998,0.000535213823489558,0.0006647100862319093,0.00044709994482070844,0.0005653815568727666,0.0004073784444155879,0.00039293290952105724,0.00037474027044759984
AVGO,0.0004012313011995191,0.0005097618047007175,0.0004722808175927453,0.0004452098718454291,0.000562444312860115,0.0003505662836115359,0.00046225315391533174,0.0005157214165626664,0.0004890960271290963,0.000489010399419177,0.0004691492782306594,0.0005187692043649496,0.00048068505858410546,0.0005969750754166155,0.00041451483230476254,0.00045711777594351104,0.00033788188428177253,0.0003552523145751313,0.00027709603678784393
INTC,0.00035193475486729246,0.00048198373021939006,0.0004058761792399576,0.0003908577896190571,0.0003505662836115359,0.000579001129616982,0.0004374204104058957,0.0004710401684949957,0.00045071299776652113,0.0004135399267609565,0.0004678255460883014,0.0004797051546986105,0.00039138429276554455,0.0004953425206506533,0.00036955557159914945,0.00042854305867416956,0.0002914114973782265,0.0003406668395709422,0.0002454489442890165
KLAC,0.0004890080799726205,0.0007300734157287855,0.0005999884525000903,0.0005798150186841419,0.00046225315391533174,0.0004374204104058957,0.0007886472662977477,0.0007564827079573975,0.0006166387008390696,0.0005891822119936885,0.0006180923155370856,0.0006578858046749839,0.0005636198355057689,0.0007010076153166185,0.0004891749853902429,0.0006412098050477454,0.00042750151065911693,0.0004471277065032534,0.00038301036972500005
LRCX,0.0005288003945707406,0.0008268281218589026,0.0006510466388372043,0.0006434903214148907,0.0005157214165626664,0.0004710401684949957,0.0007564827079573975,0.0009314245947763947,0.000675192061471103,0.000640950990692567,0.0007111347444893028,0.0006987409966066686,0.0006237245097883864,0.000788978629028267,0.0005252013795710015,0.000712324242433801,0.00047574355332520373,0.0004786561592845665,0.00040618282960046655
MCHP,0.0005280557391764252,0.0006628579209789859,0.0005942688375519992,0.0005516052891260544,0.0004890960271290963,0.00045071299776652113,0.0006166387008390696,0.000675192061471103,0.0007751092996945445,0.000606131745781943,0.0006282640299864038,0.0006323832102924597,0.0006194754210792501,0.0007904140313471778,0.0004854984067243855,0.0006044114735832196,0.00043082136435657867,0.00047711842126599107,0.0003833099409277885
MRVL,0.0004856757944124133,0.0006311896346805052,0.0006590991982899397,0.0005548883926580077,0.000489010399419177,0.0004135399267609565,0.0005891822119936885,0.000640950990692567,0.000606131745781943,0.0008919523341940533,0.000587554499131273,0.0007102026857875713,0.0005791433761176606,0.0007280789333985371,0.000510313755107999,0.0005952247822638236,0.00041834985277218646,0.0004343084634750108,0.0003957692596259748
MU,0.0004873407606974744,0.0006843597876608611,0.0006095112654943601,0.0005421870017902608,0.0004691492782306594,0.0004678255460883014,0.0006180923155370856,0.0007111347444893028,0.0006282640299864038,0.000587554499131273,0.0009179242702945005,0.0006553974644890081,0.000570842978835297,0.0007427918861818853,0.00048278086643131573,0.0005987541187189938,0.00041848841850597527,0.0004411964833494062,0.0003754391088366859
NVDA,0.0005135503596876228,0.0006898321472312218,0.0008492789275315423,0.0006221798525426998,0.0005187692043649496,0.0004797051546986105,0.0006578858046749839,0.0006987409966066686,0.0006323832102924597,0.0007102026857875713,0.0006553974644890081,0.001080747726548321,0.0005784918312387417,0.0007408748960747682,0.0005509994933418997,0.0006241880771631549,0.00047490194051497776,0.0004754856437728092,0.00040842177550059214
NXPI,0.0004922968555872041,0.0006065833331532522,0.0005301461103035304,0.000535213823489558,0.00048068505858410546,0.00039138429276554455,0.0005636198355057689,0.0006237245097883864,0.0006194754210792501,0.0005791433761176606,0.000570842978835297,0.0005784918312387417,0.0007956294540666517,0.000787966215225614,0.0004693373122469028,0.0005690558865262724,0.0004002953290226719,0.0004297213701366724,0.0003661372529121061
ON,0.0006195023445463079,0.0007664512030315854,0.0007032410275999232,0.0006647100862319093,0.0005969750754166155,0.0004953425206506533,0.0007010076153166185,0.000788978629028267,0.0007904140313471778,0.0007280789333985371,0.0007427918861818853,0.0007408748960747682,0.000787966215225614,0.0012142429969991594,0.0005687781528481972,0.0007156838756399986,0.0004916364235124629,0.0005149131286998527,0.00045380780043649847
QCOM,0.00039936612152167164,0.0005276975110178767,0.0005157119500380098,0.00044709994482070844,0.00041451483230476254,0.00036955557159914945,0.0004891749853902429,0.0005252013795710015,0.0004854984067243855,0.000510313755107999,0.00048278086643131573,0.0005509994933418997,0.0004693373122469028,0.0005687781528481972,0.0006761420813809208,0.000472992166926145,0.0003548282613880853,0.0003587356903129721,0.0003056488923083564
TER,0.00047897588823403567,0.0006777998183447869,0.0005844359471007838,0.0005653815568727666,0.00045711777594351104,0.00042854305867416956,0.0006412098050477454,0.000712324242433801,0.0006044114735832196,0.0005952247822638236,0.0005987541187189938,0.0006241880771631549,0.0005690558865262724,0.0007156838756399986,0.000472992166926145,0.0008295194732904363,0.0004261420191055557,0.00042565180925660653,0.0003825650080052063
TSM,0.0003414583292745692,0.0004626517042731516,0.000449818561707122,0.0004073784444155879,0.00033788188428177253,0.0002914114973782265,0.00042750151065911693,0.00047574355332520373,0.00043082136435657867,0.00041834985277218646,0.00041848841850597527,0.00047490194051497776,0.0004002953290226719,0.0004916364235124629,0.0003548282613880853,0.0004261420191055557,0.0004860829362391304,0.00031412445507051224,0.0003495997813993028
TXN,0.00038680222231083305,0.0004751156359994119,0.00044009433170168297,0.00039293290952105724,0.0003552523145751313,0.0003406668395709422,0.0004471277065032534,0.0004786561592845665,0.00047711842126599107,0.0004343084634750108,0.0004411964833494062,0.0004754856437728092,0.0004297213701366724,0.0005149131286998527,0.0003587356903129721,0.00042565180925660653,0.00031412445507051224,0.00041865393068729904,0.00025889651439553745
UMC,0.0002838880328642488,0.0003920086211671169,0.00035521318619236367,0.00037474027044759984,0.00027709603678784393,0.0002454489442890165,0.00038301036972500005,0.00040618282960046655,0.0003833099409277885,0.0003957692596259748,0.0003754391088366859,0.00040842177550059214,0.0003661372529121061,0.00045380780043649847,0.0003056488923083564,0.0003825650080052063,0.0003495997813993028,0.00025889651439553745,0.0007575835674528334
